ticker,series,strategy,yes_ask,entry_price,pnl
KXETHD-26AUG0115-T1859.99,KXETHD,fade_no,0.04,0.98,0.018628000000000016
KXETHD-26AUG0115-T1859.99,KXETHD,lotto_yes,0.04,0.04,-0.042688000000000004
KXETHD-26AUG0115-T1849.99,KXETHD,fade_no,0.03,0.99,0.009307000000000008
KXETHD-26AUG0115-T1849.99,KXETHD,lotto_yes,0.03,0.03,-0.032036999999999996
KXETHD-26AUG0115-T1844.99,KXETHD,fade_no,0.05,0.98,0.018628000000000016
KXETHD-26AUG0115-T1844.99,KXETHD,lotto_yes,0.05,0.05,-0.053325000000000004
KXETHD-26AUG0115-T1839.99,KXETHD,fade_no,0.17,0.85,0.141075
KXETHD-26AUG0115-T1839.99,KXETHD,lotto_yes,0.17,0.17,-0.179877
KXETHD-26AUG0114-T1869.99,KXETHD,fade_no,0.03,0.99,0.009307000000000008
KXETHD-26AUG0114-T1869.99,KXETHD,lotto_yes,0.03,0.03,-0.032036999999999996
KXETHD-26AUG0114-T1864.99,KXETHD,fade_no,0.1,0.92,0.07484799999999996
KXETHD-26AUG0114-T1864.99,KXETHD,lotto_yes,0.1,0.1,-0.1063
KXETHD-26AUG0114-T1859.99,KXETHD,fav_yes,0.82,0.82,0.16966800000000004
KXETHD-26AUG0111-T1874.99,KXETHD,fade_no,0.04,0.98,0.018628000000000016
KXETHD-26AUG0111-T1874.99,KXETHD,lotto_yes,0.04,0.04,-0.042688000000000004
KXETHD-26AUG0110-T1869.99,KXETHD,fade_no,0.06,0.97,0.027963000000000026
KXETHD-26AUG0110-T1869.99,KXETHD,lotto_yes,0.06,0.06,-0.063948
KXETHD-26AUG0110-T1864.99,KXETHD,fav_yes,0.96,0.96,0.03731200000000003
KXETHD-26AUG0109-T1869.99,KXETHD,fade_no,0.04,0.99,0.009307000000000008
KXETHD-26AUG0109-T1869.99,KXETHD,lotto_yes,0.04,0.04,-0.042688000000000004
KXETHD-26AUG0106-T1869.99,KXETHD,fade_no,0.1,0.91,0.08426699999999997
KXETHD-26AUG0106-T1869.99,KXETHD,lotto_yes,0.1,0.1,-0.1063
KXETHD-26AUG0105-T1864.99,KXETHD,fav_yes,0.89,0.89,0.10314699999999999
KXETHD-26AUG0104-T1869.99,KXETHD,fade_no,0.09,0.92,0.07484799999999996
KXETHD-26AUG0104-T1869.99,KXETHD,lotto_yes,0.09,0.09,-0.095733
KXETHD-26AUG0103-T1869.99,KXETHD,fade_no,0.12,0.9,0.09369999999999998
KXETHD-26AUG0103-T1869.99,KXETHD,lotto_yes,0.12,0.12,-0.127392
KXETHD-26AUG0101-T1869.99,KXETHD,fade_no,0.13,0.88,0.112608
KXETHD-26AUG0101-T1869.99,KXETHD,lotto_yes,0.13,0.13,-0.137917
KXETHD-26AUG0117-T1889.99,KXETHD,fade_no,0.05,0.99,0.009307000000000008
KXETHD-26AUG0117-T1889.99,KXETHD,lotto_yes,0.05,0.05,-0.053325000000000004
KXETHD-26AUG0117-T1849.99,KXETHD,fade_no,0.03,0.99,0.009307000000000008
KXETHD-26AUG0117-T1849.99,KXETHD,lotto_yes,0.03,0.03,-0.032036999999999996
KXETHD-26AUG0100-T1864.99,KXETHD,fav_yes,0.91,0.91,0.08426699999999997
KXETHD-26JUL3123-T1864.99,KXETHD,fav_yes,0.86,0.86,0.13157200000000002
KXSOLD-26AUG0120-T72.2499,KXSOLD,fade_no,0.03,0.99,0.009307000000000008
KXSOLD-26AUG0120-T72.2499,KXSOLD,lotto_yes,0.03,0.03,-0.032036999999999996
KXSOLD-26AUG0120-T71.9999,KXSOLD,fade_no,0.09,0.94,0.056052000000000046
KXSOLD-26AUG0120-T71.9999,KXSOLD,lotto_yes,0.09,0.09,-0.095733
KXSOLD-26AUG0120-T71.7499,KXSOLD,fav_yes,0.93,0.93,0.06544299999999996
KXSOLD-26AUG0119-T71.9999,KXSOLD,fade_no,0.19,0.84,0.15059200000000003
KXSOLD-26AUG0119-T71.9999,KXSOLD,lotto_yes,0.19,0.19,-0.200773
KXSOLD-26AUG0119-T71.7499,KXSOLD,fav_yes,0.96,0.96,0.03731200000000003
KXSOLD-26AUG0118-T71.9999,KXSOLD,fade_no,0.04,0.99,0.009307000000000008
KXSOLD-26AUG0118-T71.9999,KXSOLD,lotto_yes,0.04,0.04,-0.042688000000000004
