mid_decile,spread_cents,n,avg_bid_size,avg_ask_size
2,36,18,338.3888888888889,132.13111111111112
2,37,42,126.91642857142857,223.0952380952381
2,38,267,34.31460674157304,116.09363295880149
2,39,193,95.70466321243524,105.05181347150258
2,40,16,812.3125,365.5625
2,41,14,891.2857142857143,69.28571428571429
2,42,42,1287.2380952380952,148.83333333333334
2,43,46,110.04347826086956,28.76347826086956
2,44,6,2501.3333333333335,62.166666666666664
2,45,83,437.0120481927711,49.87951807228916
2,46,31,1842.4670967741936,382.32645161290327
2,47,24,1034.25,291.625
2,48,140,356.3202142857143,118.65
2,49,110,345.6545454545454,108.5829090909091
2,50,367,196.77111716621255,99.07901907356948
2,51,136,225.0808823529412,115.55882352941177
2,52,734,48.91961852861036,107.43869209809264
2,53,18,2598.445555555556,505.22222222222223
2,54,427,151.40145199063232,3165.526932084309
2,55,22,1354.590909090909,207.1818181818182
2,56,6,1766.9133333333332,558.6666666666666
2,57,8,3125.18,441.75
3,1,43315,1723.2413302551079,2656.9343393743507
3,2,32000,2111.1653471875,2224.5034384375
3,3,24111,1905.9682916511135,1830.2649529260505
3,4,11037,1474.9362299537918,1387.4001957053547
3,5,4566,1390.4112636881296,1254.8327551467369
3,6,1902,850.38738170347,787.1441587802314
3,7,1318,986.3203641881639,519.5526707132019
3,8,1872,1603.865032051282,722.9273237179486
3,9,2286,1961.1287664041997,735.8133420822397
3,10,2292,2617.5184685863874,1080.7736343804538
3,11,808,1691.0223267326733,2981.0945668316836
3,12,871,2447.212732491389,955.1547416762343
3,13,54,4370.648148148148,4135.681111111111
3,14,23,2197.7934782608695,1961.391304347826
3,15,401,8.671321695760598,11.800498753117207
3,16,195,327.0205128205128,129.6051282051282
3,17,3,1748.3333333333333,1802.63
3,18,16,10.779375,45.754999999999995
3,19,7,68.28,41.0
3,20,21,19.285714285714285,52.42857142857143
3,21,3,80.66666666666667,350.3333333333333
3,22,2,119.0,5.5
3,23,1,53.0,150.0
3,24,3,15.333333333333334,3.0
3,25,126,36.51,100.0
3,26,12,1.0,202.74333333333334
3,27,5,31.2,147.28
3,28,2,116.0,5.5
3,29,130,348.5923076923077,56.0
3,30,2,71.45,16.2
3,31,1,4.0,0.01
3,32,4,2.25,37.75
3,33,3,133.0,4.333333333333333
