ticker,ts,side,price,pnl
KXBTC-26AUG1023-B64050,1786414412709,buy,0.47,-0.47
KXBTC-26AUG1023-B64050,1786414512805,sell,0.36,0.36
KXBTC-26AUG1023-B64050,1786414762624,sell,0.41,0.41
KXBTC-26AUG1023-B64050,1786415361234,buy,0.42,-0.42
KXBTC-26AUG1023-B64050,1786415412108,sell,0.4,0.4
KXBTC-26AUG1023-B64050,1786415561037,sell,0.45,0.45
KXBTC-26AUG1023-B64050,1786415611246,buy,0.47,-0.47
KXBTC-26AUG1023-B64050,1786415661282,buy,0.38,-0.38
KXBTC-26AUG1023-B64050,1786415761184,buy,0.33,-0.33
KXBTC-26AUG1023-B64050,1786415961063,buy,0.27,-0.27
KXBTC-26AUG1023-B64050,1786416011660,buy,0.24,-0.24
KXBTC-26AUG1023-B64050,1786416061128,sell,0.22,0.22
KXBTC-26AUG1023-B64050,1786416111201,sell,0.27,0.27
KXBTC-26AUG1023-B64050,1786416313828,sell,0.3,0.3
KXBTC-26AUG1023-B64050,1786416360883,sell,0.43,0.43
KXBTC-26AUG1023-B64050,1786416410529,buy,0.44,-0.44
KXBTC-26AUG1023-B64050,1786416460578,buy,0.41,-0.41
KXBTC-26AUG1023-B64050,1786416560440,buy,0.3,-0.3
KXBTC-26AUG1023-B64050,1786416710588,buy,0.16,-0.16
KXBTC-26AUG1023-B64050,1786416860477,sell,0.08,0.08
KXBTC-26AUG1023-B64050,1786417110149,buy,0.13,-0.13
KXBTC-26AUG1023-B64150,1786414413507,buy,0.13,-0.13
KXBTC-26AUG1100-B63950,1786417464424,buy,0.34,-0.34
KXBTC-26AUG1100-B63950,1786417564421,sell,0.34,0.34
KXBTC-26AUG1100-B63950,1786417715130,buy,0.41,-0.41
KXBTC-26AUG1100-B63950,1786417866228,buy,0.33,-0.33
KXBTC-26AUG1100-B63950,1786417965843,buy,0.28,-0.28
KXBTC-26AUG1100-B63950,1786418014774,sell,0.2,0.2
KXBTC-26AUG1100-B63950,1786418214941,buy,0.19,-0.19
KXBTC-26AUG1100-B63950,1786418269867,buy,0.16,-0.16
KXBTC-26AUG1100-B63950,1786418638443,buy,0.1,-0.1
KXBTC-26AUG1100-B64050,1786417464563,sell,0.44,-0.56
KXBTC-26AUG1100-B64050,1786417564571,buy,0.47,0.53
KXBTC-26AUG1100-B64050,1786417715286,sell,0.4,-0.6
KXBTC-26AUG1100-B64050,1786417765931,sell,0.43,-0.5700000000000001
KXBTC-26AUG1100-B64050,1786418116015,sell,0.52,-0.48
KXBTC-26AUG1100-B64050,1786418215519,sell,0.56,-0.43999999999999995
KXBTC-26AUG1100-B64050,1786418270573,buy,0.57,0.43000000000000005
KXBTC-26AUG1100-B64050,1786418337435,buy,0.52,0.48
KXBTC-26AUG1100-B64050,1786418412253,sell,0.5,-0.5
KXBTC-26AUG1100-B64050,1786418788158,buy,0.52,0.48
KXBTC-26AUG1100-B64050,1786418838125,buy,0.43,0.5700000000000001
KXBTC-26AUG1100-B64050,1786418888031,sell,0.36,-0.64
KXBTC-26AUG1100-B64050,1786418937801,sell,0.48,-0.52
KXBTC-26AUG1100-B64050,1786418987918,sell,0.54,-0.45999999999999996
KXBTC-26AUG1100-B64050,1786419137870,sell,0.57,-0.43000000000000005
KXBTC-26AUG1100-B64050,1786419637740,buy,0.58,0.42000000000000004
